Stats,Aces,Aces Norm,Double faults,Double faults Norm,1st serves in,1st serves in Norm,1st serve points won,1st serve points won Norm,2nd serve points won,2nd serve points won Norm,Fastest serve,Fastest serve Norm,Average 1st serve speed,Average 1st serve speed Norm,Average 2nd serve speed,Average 2nd serve speed Norm,Net points won,Net points won Norm,Break points won,Break points won Norm,Receiving points won,Receiving points won Norm,Winners,Winners Norm,Unforced errors,Unforced errors Norm,Total points won,Total points won Norm,Distance Covered (Feet),Distance Covered (Feet) Norm,Dist. Covered/Pt. (Feet),Dist. Covered/Pt. (Feet) Norm,url
Novak Djokovic,3,0.21428571428571427,5,0.5,96/155 (62%),0.62,63/96 (66%),0.66,32/59 (54%),0.54,124 MPH,124,115 MPH,115,90 MPH,90,21/32 (66%),0.66,6/13 (46%),0.46,52/137 (38%),0.38,35,0.38461538461538464,37,0.4065934065934066,147,0.5034246575342466,10744.5,0.4949831389242081,36.8,0.4952893674293405,http://www.usopen.org/en_US/scores/stats/day20/1701ms.html
Roger Federer,11,0.7857142857142857,5,0.5,87/137 (64%),0.64,62/87 (71%),0.71,23/50 (46%),0.46,125 MPH,125,115 MPH,115,95 MPH,95,39/59 (66%),0.66,4/23 (17%),0.17,60/155 (39%),0.39,56,0.6153846153846154,54,0.5934065934065934,145,0.4965753424657534,10962.3,0.5050168610757919,37.5,0.5047106325706595,http://www.usopen.org/en_US/scores/stats/day20/1701ms.html
Roberta Vinci,0,0.0,1,0.5,47/73 (64%),0.64,26/47 (55%),0.55,13/26 (50%),0.5,102 MPH,102,93 MPH,93,72 MPH,72,15/30 (50%),0.5,2/4 (50%),0.5,28/75 (37%),0.37,21,0.42857142857142855,30,0.5769230769230769,67,0.4527027027027027,6669.5,0.4868710169578135,45.1,0.48704103671706267,http://www.usopen.org/en_US/scores/stats/day19/2701ms.html
Flavia Pennetta,4,1.0,1,0.5,48/75 (64%),0.64,33/48 (69%),0.69,14/27 (52%),0.52,109 MPH,109,100 MPH,100,75 MPH,75,16/20 (80%),0.8,4/11 (36%),0.36,34/73 (47%),0.47,28,0.5714285714285714,22,0.4230769230769231,81,0.5472972972972973,7029.2,0.5131289830421865,47.5,0.5129589632829374,http://www.usopen.org/en_US/scores/stats/day19/2701ms.html
Jamie Murray | John Peers,3,0.375,1,0.3333333333333333,41/59 (69%),0.69,29/41 (71%),0.71,8/18 (44%),0.44,,,,,,,,,0/5 (0%),0.0,11/53 (21%),0.21,21,0.4117647058823529,10,0.45454545454545453,48,0.42857142857142855,,,,,http://www.usopen.org/en_US/scores/stats/day19/3601ms.html
Pierre-Hugues Herbert | Nicolas Mahut,5,0.625,2,0.6666666666666666,38/53 (72%),0.72,33/38 (87%),0.87,9/15 (60%),0.6,,,,,,,,,2/7 (29%),0.29,22/59 (37%),0.37,30,0.5882352941176471,12,0.5454545454545454,64,0.5714285714285714,,,,,http://www.usopen.org/en_US/scores/stats/day19/3601ms.html
Martina Hingis | Sania Mirza,0,0.0,3,0.375,36/49 (73%),0.73,27/36 (75%),0.75,4/13 (31%),0.31,,,,,,,,,5/10 (50%),0.5,31/59 (53%),0.53,26,0.5531914893617021,14,0.4,62,0.5740740740740741,,,,,http://www.usopen.org/en_US/scores/stats/day20/4601ms.html
Casey Dellacqua | Yaroslava Shvedova,1,1.0,5,0.625,40/59 (68%),0.68,23/40 (57%),0.57,5/19 (26%),0.26,,,,,,,,,2/2 (100%),1.0,18/49 (37%),0.37,21,0.44680851063829785,21,0.6,46,0.42592592592592593,,,,,http://www.usopen.org/en_US/scores/stats/day20/4601ms.html
Bethanie Mattek-Sands | Sam Querrey,6,0.75,3,0.75,38/61 (62%),0.62,29/38 (76%),0.76,12/23 (52%),0.52,,,,,,,,,1/5 (20%),0.2,19/61 (31%),0.31,28,0.4666666666666667,16,0.64,60,0.4918032786885246,,,,,http://www.usopen.org/en_US/scores/stats/day18/5501ms.html
Martina Hingis | Leander Paes,2,0.25,1,0.25,37/61 (61%),0.61,29/37 (78%),0.78,13/24 (54%),0.54,,,,,,,,,1/5 (20%),0.2,20/61 (33%),0.33,32,0.5333333333333333,9,0.36,62,0.5081967213114754,,,,,http://www.usopen.org/en_US/scores/stats/day18/5501ms.html
Taylor Fritz,11,0.7333333333333333,2,0.3333333333333333,48/96 (50%),0.5,40/48 (83%),0.83,21/48 (44%),0.44,134 MPH,134,117 MPH,117,92 MPH,92,14/19 (74%),0.74,6/8 (75%),0.75,38/86 (44%),0.44,30,0.6,30,0.5555555555555556,99,0.5439560439560439,,,,,http://www.usopen.org/en_US/scores/stats/day20/21601ms.html
Tommy Paul,4,0.26666666666666666,4,0.6666666666666666,51/86 (59%),0.59,35/51 (69%),0.69,13/35 (37%),0.37,126 MPH,126,102 MPH,102,86 MPH,86,8/12 (67%),0.67,2/11 (18%),0.18,35/96 (36%),0.36,20,0.4,24,0.4444444444444444,83,0.45604395604395603,,,,,http://www.usopen.org/en_US/scores/stats/day20/21601ms.html
Sofia Kenin,1,0.1,2,0.3333333333333333,38/58 (66%),0.66,27/38 (71%),0.71,9/20 (45%),0.45,,,,,,,,,2/5 (40%),0.4,,,1,0.1,2,0.3333333333333333,58,0.47540983606557374,,,,,http://www.usopen.org/en_US/scores/stats/day20/22601ms.html
Dalma Galfi,9,0.9,4,0.6666666666666666,38/64 (59%),0.59,32/38 (84%),0.84,10/26 (38%),0.38,,,,,,,,,4/4 (100%),1.0,,,9,0.9,4,0.6666666666666666,64,0.5245901639344263,,,,,http://www.usopen.org/en_US/scores/stats/day20/22601ms.html
Brandon Holt | Riley Smith,3,0.6,0,0.0,53/71 (75%),0.75,31/53 (58%),0.58,10/18 (56%),0.56,,,,,,,,,3/8 (38%),0.38,,,3,0.6,0,0.0,70,0.4794520547945205,,,,,http://www.usopen.org/en_US/scores/stats/day20/23501ms.html
Felix Auger Aliassime | Denis Shapovalov,2,0.4,2,1.0,42/75 (56%),0.56,31/42 (74%),0.74,15/33 (45%),0.45,,,,,,,,,4/8 (50%),0.5,,,2,0.4,2,1.0,76,0.5205479452054794,,,,,http://www.usopen.org/en_US/scores/stats/day20/23501ms.html
Viktoria Kuzmova | Aleksandra Pospelova,2,1.0,1,0.14285714285714285,39/60 (65%),0.65,27/39 (69%),0.69,9/21 (43%),0.43,,,,,,,,,5/10 (50%),0.5,,,2,1.0,1,0.14285714285714285,67,0.5491803278688525,,,,,http://www.usopen.org/en_US/scores/stats/day19/24501ms.html
Anna Kalinskaya | Anastasia Potapova,0,0.0,6,0.8571428571428571,32/62 (52%),0.52,20/32 (63%),0.63,11/30 (37%),0.37,,,,,,,,,2/5 (40%),0.4,,,0,0.0,6,0.8571428571428571,55,0.45081967213114754,,,,,http://www.usopen.org/en_US/scores/stats/day19/24501ms.html
Shingo Kunieda,3,0.6,7,0.5,60/86 (70%),0.7,35/60 (58%),0.58,15/26 (58%),0.58,87 MPH,87,75 MPH,75,71 MPH,71,3/4 (75%),0.75,8/16 (50%),0.5,53/107 (50%),0.5,51,0.5862068965517241,27,0.4909090909090909,103,0.533678756476684,,,,,http://www.usopen.org/en_US/scores/stats/day20/31301ms.html
Stephane Houdet,2,0.4,7,0.5,61/107 (57%),0.57,33/61 (54%),0.54,21/46 (46%),0.46,92 MPH,92,77 MPH,77,68 MPH,68,4/4 (100%),1.0,4/6 (67%),0.67,36/86 (42%),0.42,36,0.41379310344827586,28,0.509090909090909,90,0.46632124352331605,,,,,http://www.usopen.org/en_US/scores/stats/day20/31301ms.html
Stephane Houdet | Gordon Reid,,,0,0.0,34/46 (74%),0.74,23/34 (68%),0.68,9/12 (75%),0.75,,,,,,,,,5/8 (63%),0.63,,,,,0,0.0,63,0.6116504854368932,,,,,http://www.usopen.org/en_US/scores/stats/day20/32201ms.html
Michael Jeremiasz | Nicolas Peifer,,,3,1.0,45/57 (79%),0.79,22/45 (49%),0.49,4/12 (33%),0.33,,,,,,,,,1/1 (100%),1.0,,,,,3,1.0,40,0.3883495145631068,,,,,http://www.usopen.org/en_US/scores/stats/day20/32201ms.html
Yui Kamiji,,,1,0.14285714285714285,43/64 (67%),0.67,25/43 (58%),0.58,9/21 (43%),0.43,70 MPH,70,63 MPH,63,0 MPH,0,0/4 (0%),0.0,5/10 (50%),0.5,37/78 (47%),0.47,17,0.4146341463414634,28,0.4375,71,0.5,,,,,http://www.usopen.org/en_US/scores/stats/day20/33301ms.html
Jordanne Whiley,,,6,0.8571428571428571,44/78 (56%),0.56,24/44 (55%),0.55,17/34 (50%),0.5,77 MPH,77,71 MPH,71,66 MPH,66,3/3 (100%),1.0,6/12 (50%),0.5,30/64 (47%),0.47,24,0.5853658536585366,36,0.5625,71,0.5,,,,,http://www.usopen.org/en_US/scores/stats/day20/33301ms.html
Marjolein Buis | Sabine Ellerbrock,0,0.0,4,0.5,54/76 (71%),0.71,28/54 (52%),0.52,7/22 (32%),0.32,,,,,,,,,3/13 (23%),0.23,32/38 (84%),0.84,7,0.3684210526315789,15,0.45454545454545453,67,0.44966442953020136,,,,,http://www.usopen.org/en_US/scores/stats/day20/34201ms.html
Jiske Griffioen | Aniek Van Koot,2,1.0,4,0.5,50/73 (68%),0.68,29/50 (58%),0.58,12/23 (52%),0.52,,,,,,,,,6/13 (46%),0.46,41/21 (195%),1.95,12,0.631578947368421,18,0.5454545454545454,82,0.5503355704697986,,,,,http://www.usopen.org/en_US/scores/stats/day20/34201ms.html
Dylan Alcott,5,0.7142857142857143,6,0.375,57/85 (67%),0.67,36/57 (63%),0.63,11/28 (39%),0.39,,,,,,,,,8/13 (62%),0.62,,,5,0.7142857142857143,6,0.375,93,0.5406976744186046,,,,,http://www.usopen.org/en_US/scores/stats/day20/35401ms.html
David Wagner,2,0.2857142857142857,10,0.625,51/87 (59%),0.59,29/51 (57%),0.57,12/36 (33%),0.33,,,,,,,,,6/9 (67%),0.67,,,2,0.2857142857142857,10,0.625,79,0.45930232558139533,,,,,http://www.usopen.org/en_US/scores/stats/day20/35401ms.html
Nicholas Taylor | David Wagner,,,6,0.42857142857142855,52/69 (75%),0.75,28/52 (54%),0.54,9/17 (53%),0.53,,,,,,,,,5/14 (36%),0.36,,,,,6,0.42857142857142855,75,0.5357142857142857,,,,,http://www.usopen.org/en_US/scores/stats/day20/36101ms.html
Dylan Alcott | Andrew Lapthorne,,,8,0.5714285714285714,45/71 (63%),0.63,23/45 (51%),0.51,10/26 (38%),0.38,,,,,,,,,4/8 (50%),0.5,,,,,8,0.5714285714285714,65,0.4642857142857143,,,,,http://www.usopen.org/en_US/scores/stats/day20/36101ms.html
Michael Chang | Todd Martin,2,1.0,2,0.3333333333333333,23/42 (55%),0.55,15/23 (65%),0.65,4/19 (21%),0.21,,,,,,,,,1/3 (33%),0.33,,,2,1.0,2,0.3333333333333333,36,0.41379310344827586,,,,,http://www.usopen.org/en_US/scores/stats/day20/46201ms.html
Pat Cash | Mark Philippoussis,0,0.0,4,0.6666666666666666,29/45 (64%),0.64,21/29 (72%),0.72,7/16 (44%),0.44,,,,,,,,,5/12 (42%),0.42,,,0,0.0,4,0.6666666666666666,51,0.5862068965517241,,,,,http://www.usopen.org/en_US/scores/stats/day20/46201ms.html
Gonzales Austin,2,0.6666666666666666,2,0.5,34/55 (62%),0.62,25/34 (74%),0.74,9/21 (43%),0.43,,,,,,,,,0/1 (0%),0.0,,,2,0.6666666666666666,2,0.5,44,0.41509433962264153,,,,,http://www.usopen.org/en_US/scores/stats/day19/51301ms.html
Mackenzie McDonald,1,0.3333333333333333,2,0.5,39/51 (76%),0.76,35/39 (90%),0.9,6/12 (50%),0.5,,,,,,,,,3/6 (50%),0.5,,,1,0.3333333333333333,2,0.5,62,0.5849056603773585,,,,,http://www.usopen.org/en_US/scores/stats/day19/51301ms.html
Chanelle Van Nguyen,0,0.0,2,0.5,47/74 (64%),0.64,31/47 (66%),0.66,7/27 (26%),0.26,,,,,,,,,3/4 (75%),0.75,,,0,0.0,2,0.5,59,0.4573643410852713,,,,,http://www.usopen.org/en_US/scores/stats/day19/52301ms.html
Robin Anderson,1,1.0,2,0.5,38/55 (69%),0.69,27/38 (71%),0.71,7/17 (41%),0.41,,,,,,,,,5/11 (45%),0.45,,,1,1.0,2,0.5,70,0.5426356589147286,,,,,http://www.usopen.org/en_US/scores/stats/day19/52301ms.html
